Unnamed: 0,edit_history_tweet_ids,tweetid,message,my_label,sentiment,trained_on,df_index,hashtag
0,[1605714616704696321],1605714616704696321,"RT @Bloominje: Space geht weiter. Superinterressant. Läuft jetzt ohne Unterbrechung :) Kim führt aus, dass das FBI/Pentagon Millionen von B…",,,0.0,0,[]
1,[1605714167121547266],1605714167121547266,"RT @unblogd: Die Wokeria freut sich schon, dass Elon Musk bald nicht mehr Twitter-Boss ist, kapiert aber nicht, dass er niemandem die Führu…",,,0.0,1,[]
2,[1605714056534441984],1605714056534441984,“Knallharte Ausbeutung” im Tesla-Werk in Grünheide: Elon Musk will mehr https://t.co/amUu30D2kG,,,0.0,2,[]
3,[1605713609597894656],1605713609597894656,Elon Musk einf Fähnchen im Wind sobald er MINIMAL gepressed wird my god der Mann benötigt einen safe space https://t.co/VSZGRBpUG2,1.0,,0.0,3,[]
4,[1605712610225278976],1605712610225278976,"RT @derspiegel: Elon Musk hat Twitter ins Chaos gestürzt. Nun lädt ihn das EU-Parlament ein, vor dem Plenum über sein Vorgehen Auskunft zu…",0.0,,0.0,4,[]
5,[1605710948546711552],1605710948546711552,Elon Musk is Ponzi scheme intelligent.,-1.0,,0.0,5,[]
6,[1605710915357351937],1605710915357351937,"@JoergRMayer @heimolepuschitz @elonmusk Ich schrei NICHT „Faschismus“,sage NICHT, dass Elon Musk ein Diktator ist. Und ich bin absolut dafür, Accounts von rechten Menschen zu sperren,wenn sie nicht wissen (wollen), was Hetze bedeutet und verantwortungslos agieren…Auch ein Nepp darf sein Hirn nutzen, bevor er schreibt!",,,0.0,6,[]
7,[1605710217525989376],1605710217525989376,Elon Musk will als Twitter-Chef zurücktreten https://t.co/3G3RjVDlQw Wirtschaft Schweiz https://t.co/COJk1fn2lW,,,0.0,7,[]
8,[1605709845000241153],1605709845000241153,"RT @HAMBURGonline: #Twitter Analyse: Das ernüchternde Resultat. Zwischen 60 und 80% aller abgesetzten Tweets, die sich entweder zur Ukraine…",,,0.0,8,['Twitter']
9,[1605709640364433408],1605709640364433408,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",1.0,,0.0,9,[]
10,[1605709508847681537],1605709508847681537,RT @BlakesWort: Sehr gute Zusammenfassung zum Chef von Twitter. Nichts Neues für die meisten aktiven User:innen aber falls Bekannte und Ver…,,,0.0,10,[]
11,[1605709366908243968],1605709366908243968,"RT @_donalphonso: Weil entgegen den Ankündigungen die meisten Aufmerksamkeitsjunkies noch immer nicht bei Mastodon sind, habe ich aufgeschr…",,,0.0,11,[]
12,[1605709189627641858],1605709189627641858,@CozyKoakuma Lass das Elon Musk nicht sehen 🌚😂,,,0.0,12,[]
13,[1605708704757780480],1605708704757780480,RT @BlakesWort: Sehr gute Zusammenfassung zum Chef von Twitter. Nichts Neues für die meisten aktiven User:innen aber falls Bekannte und Ver…,,,0.0,13,[]
14,[1605707609071296514],1605707609071296514,"@janboehm Um sich einem ungelernten Flachwedler wie Ihnen überlegen zu fühlen, braucht es keinen Elon Musk im Rücken.
Interessant, dass die drei größten Giftspritzen des ÖRR ungelernte niveaulos frustgöbelnde Männer sind: Keller-, Kachel- und Böhmermann. 😂 #Minderwertigkeitskomplex",,,0.0,14,['Minderwertigkeitskomplex']
15,[1605706933914128385],1605706933914128385,"RT @george_orwell3: 🇺🇲 Präsident Trump gab sein erstes Interview seit der Veröffentlichung der Twitter-Akten und sagt, dass Elon Musk ein H…",,,0.0,15,[]
16,[1605706889102336000],1605706889102336000,"RT @Aggi_Dunkel: Elon Musk hat in kürzester Zeit mehr für ein Leben in Freiheit, ohne Wahlbeeinflussung, Fehlinformationen und Gehirnwäsche…",,,0.0,16,[]
17,[1605706513376485383],1605706513376485383,"RT @Aggi_Dunkel: Elon Musk hat in kürzester Zeit mehr für ein Leben in Freiheit, ohne Wahlbeeinflussung, Fehlinformationen und Gehirnwäsche…",,,0.0,17,[]
18,[1605704941535895552],1605704941535895552,"RT @zeitonline: Wenn jemand ""töricht genug"" für diesen Job ist, will Elon #Musk als CEO von Twitter zurücktreten. Musk gibt den Posten nich…",,,0.0,18,['Musk']
19,[1605704610349555715],1605704610349555715,"Elon Musk: ""Twitter ist wie ein brennendes Flugzeug ohne Steuerung"" | heise online https://t.co/S8hjqMASZu",,,0.0,19,[]
20,[1605704581786337281],1605704581786337281,"RT @nikitheblogger: Echt amüsant dabei zuzusehen, wie Böhmermann, die Tagesschau, linksgrüne Journalisten und Aktivisten seit Wochen virtue…",,,0.0,20,[]
21,[1605704371450281986],1605704371450281986,"RT @TichysEinblick: Kaum ein Tag vergeht, an dem Elon Musk linke Journalisten nicht auf die Palme treibt. Der Kampf um die Wiedererlangung…",,,0.0,21,[]
22,[1605704017170124801],1605704017170124801,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,22,[]
23,[1605703516860940289],1605703516860940289,@stpaulivon1910 Ja aber wir können ihn ja an Elon Musk verscherbeln das wird die Probleme sicherlich lösen👍,,,0.0,23,[]
24,[1605702881256030214],1605702881256030214,"Stell dir vor du fährst einen Tesla und sagst, im Auto sitzend, laut etwas Negatives über Elon Musk... Was man mit Over-the-air-Updates bei einem elektrischen Auto so alles machen könnte...",,,0.0,24,[]
25,[1605702264605114368],1605702264605114368,"RT @sgasteyger: Im Gegensatz zu den meisten Politikern hat Elon Musk den Mut das Publikum zu fragen, ob er zurücktreten sollte. Wie schön w…",,,0.0,25,[]
26,[1605701730456330240],1605701730456330240,@JannBerg8 @MartinaSB22 @svenlehmann @MarcoBuschmann Du bist ein right wing Elon musk fan. Du musst es ja wissen.,,,0.0,26,[]
27,[1605701531235393536],1605701531235393536,Ich bin froh dass Elon Musk zurück getreten ist von Twitter und sein Mars Projekt ist so oder so gescheitert. Er hat total versagt und  den Twitter übertrieben verschätzt. #MuskMeltdown #MuskRat #Twitter,,,0.0,27,"['MuskMeltdown', 'MuskRat', 'Twitter']"
28,[1605701470363324416],1605701470363324416,"RT @Bloominje: Space geht weiter. Superinterressant. Läuft jetzt ohne Unterbrechung :) Kim führt aus, dass das FBI/Pentagon Millionen von B…",,,0.0,28,[]
29,[1605701215471427587],1605701215471427587,"RT @george_orwell3: 🇺🇲 Bill Gates: 
""Elon Musk ist erstaunlich, sehen Sie, was er mit Tesla, mit SpaceX und seiner Hilfe beim Klimawandel g…",,,0.0,29,[]
30,[1605700841372909569],1605700841372909569,RT @RND_de: #ElonMusk rechtfertigt seinen brachialen Sparkurs mit der Gefahr gigantischer Verluste. Expertinnen und Experten gehen davon au…,,,0.0,30,['ElonMusk']
31,[1605700743113031680],1605700743113031680,RT @pazlmaus: Sind unter Elon musk jetzt eigentlich morddrohungen erlaubt wichtig,,,0.0,31,[]
32,[1605700614712745984],1605700614712745984,"RT @george_orwell3: 🇺🇲 Bill Gates: 
""Elon Musk ist erstaunlich, sehen Sie, was er mit Tesla, mit SpaceX und seiner Hilfe beim Klimawandel g…",,,0.0,32,[]
33,[1605700274080796672],1605700274080796672,"RT @RAinDiercks: Es ist vollkommen gleichgültig, ob Musk CEO von Twitter bleibt oder nicht. Zum einen bleibt er derjenige, der den künftige…",,,0.0,33,[]
34,[1605700227662368769],1605700227662368769,"RT @unblogd: Die Wokeria freut sich schon, dass Elon Musk bald nicht mehr Twitter-Boss ist, kapiert aber nicht, dass er niemandem die Führu…",,,0.0,34,[]
35,[1605699913077051392],1605699913077051392,"RT @HAMBURGonline: #Twitter Analyse: Das ernüchternde Resultat. Zwischen 60 und 80% aller abgesetzten Tweets, die sich entweder zur Ukraine…",,,0.0,35,['Twitter']
36,[1605699877731713024],1605699877731713024,"RT @Spielenator: !! NEUES VIDEO !!

Wie Elon Musk Twitter zerstört! 

Lasst uns mal einen Blick in das Drama der letzten Wochen werfen, und…",,,0.0,36,[]
37,[1605699843480989696],1605699843480989696,"RT @Bloominje: Was also jetzt mit Elon Musk und Twitter passiert - die Attacken auf ihn, die Diffamierung (rechter Hass und Hetze auf Twitt…",,,0.0,37,[]
38,[1605699840922357761],1605699840922357761,"RT @HAMBURGonline: #Twitter Analyse: Das ernüchternde Resultat. Zwischen 60 und 80% aller abgesetzten Tweets, die sich entweder zur Ukraine…",,,0.0,38,['Twitter']
39,[1605699718331383808],1605699718331383808,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,39,[]
40,[1605699268173406208],1605699268173406208,Elon Musk wurde mir als Follower aufgeschwatzt,,,0.0,40,[]
41,[1605699264994082817],1605699264994082817,Elon Musk stellt Rücktritt bei Twitter in Aussicht https://t.co/apUV21KT6Z via @zeitonline,,,0.0,41,[]
42,[1605698962945675274],1605698962945675274,"RT @janboehm: Desinformation: Wie die Fanboys von Elon Musk versuchen, Mastodon zu diskreditieren https://t.co/85AXUq4eQk",,,0.0,42,[]
